 Creature ,   Health ,   Stamina ,   Oxygen ,   Food ,   Weight ,  Base Damage ,   Movement Speed ,   Torpidity 
 Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +W , +T , Level 1 , +T , Level 1 , +W 
   Titanoboa ,170, 34 , 5.4 ,150, 15 ,10 ,, , ,1200, 120 ,10 ,150, 3 ,4 ,30 , 1.5  ,1.7 ,100,1 ,175 , 10.5
   Titanomyrma ,35, 7 , ,100, 10 ,0 ,150, 15 ,0 ,450, 45 ,0 ,150, 3 ,0 ,7 , 0.35  ,0 ,100, ,50 , 3
   Titanomyrma ,50, 10 , ,100, 10 ,0 ,150, 15 ,0 ,900, 90 ,0 ,50, 1 ,0 ,11 , 0.55  ,0 ,100, ,75 , 4.5
   Titanosaur ,230000, 0 , ,2000, 0 ,0 ,600, 0 ,0 ,8640, 0 ,0 ,50000, 0 ,0 ,1000 , 0  ,0 ,100, ,25000 , 1500
   Triceratops (Corrupted) ,375, 75 , ,150, 15 ,0 ,150, 15 ,0 ,3000, 300 ,0 ,365, 7.3 ,0 ,32 , 1.6  ,0 ,100, ,250 , 15
   Triceratops ,375, 75 , 5.4 ,150, 15 ,10 ,150, 15 ,10 ,3000, 300 ,10 ,365, 7.3 ,4 ,32 , 1.6  ,1.7 ,100,1.5 ,250 , 15
   Triceratops (Aberrant) ,375, 75 , 5.4 ,150, 15 ,10 ,150, 15 ,10 ,3000, 300 ,10 ,365, 7.3 ,4 ,32 , 1.6  ,1.7 ,100,1.5 ,250 , 15
   Trilobite ,160, 32 , ,100, 10 ,0 ,, , ,450, 45 ,0 ,150, 3 ,0 ,0 , 0  ,0 ,100, ,50 , 3
   Troodon ,200, 40 , 5.4 ,150, 15 ,10 ,150, 15 ,10 ,200, 20 ,10 ,140, 2.8 ,4 ,7 , 0.35  ,1.7 ,100,1 ,180 , 10.8
   Tropeognathus ,360, 72 , 4.86 ,250, 12.5 ,5 ,150, 15 ,10 ,1600, 160 ,10 ,340, 6.8 ,4 ,18 , 0.9  ,1.7 ,100, ,450 , 27
   Tusoteuthis ,2700, 540 , 4.05 ,300, 30 ,10 ,215, 21.5 ,0 ,3200, 320 ,10 ,800, 16 ,4 ,65 / 2, 3.25 / 0.1 ,1.7 ,100,1 ,1800 , 108
   Velonasaur ,440, 88 , 5.4 ,325, 32.5 ,10 ,225, 22.5 ,10 ,2250, 225 ,10 ,325, 6.5 ,4 ,32 , 1.6  ,1.7 ,100,1 ,400 , 24
   Vulture ,125, 25 , 5.4 ,150, 15 ,10 ,150, 15 ,10 ,900, 90 ,10 ,50, 1 ,4 ,23 , 1.15  ,1.7 ,100,1 ,100 , 6
   Woolly Rhino ,500, 100 , 5.4 ,120, 12 ,10 ,100, 10 ,10 ,3000, 300 ,10 ,750, 15 ,4 ,40 , 2  ,1.7 ,100,1 ,600 , 36
   Wyvern (Corrupted) ,1725, 258.75 , ,275, 13.75 ,0 ,150, 15 ,0 ,2000, 200 ,0 ,400, 8 ,0 ,80 , 4  ,0 ,100, ,725 , 43.5
   Wyvern ,1725, 258.75 , 4.05 ,275, 13.75 ,5 ,150, 15 ,10 ,2000, 200 ,10 ,400, 8 ,4 ,80 , 4  ,1.7 ,100, ,725 , 43.5
   Yeti ,2000, 200 , ,300, 30 ,0 ,150, 15 ,0 ,1500, 150 ,0 ,220, 4.4 ,0 ,50 / 60, 2 / 2.4 ,0 ,100, ,1100 , 66
   Yutyrannus ,1100, 220 , 5.4 ,420, 42 ,10 ,150, 15 ,10 ,3000, 300 ,10 ,500, 10 ,4 ,55 , 2.75  ,1.7 ,100,1 ,1550 , 93
   Zombie Wyvern ,1725, 258.75 , 4.05 ,275, 13.75 ,5 ,150, 15 ,10 ,2000, 200 ,10 ,400, 8 ,4 ,80 , 4  ,1.7 ,100, ,725 , 43.5
   Zomdodo ,700, 140 , 5.4 ,1000, 100 ,10 ,150, 15 ,10 ,450, 0 ,0 ,170, 3.4 ,4 ,55 , 0.825  ,1.7 ,100,1 ,1000 , 60
